Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.98,5.91,5.65,6.04,4.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.6,5.91,5.65,6.04,9.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,People,People and culture,OF0084,NHS staff survey engagement theme sub-score ,2025,%,5.74,5.91,5.65,6.04,7.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,105.06,96.16,94.84,104.16,8.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,78.54,96.16,94.84,104.16,1.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,95.61,96.16,94.84,104.16,5.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,96.71,96.16,94.84,104.16,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,91.01,96.16,94.84,104.16,2.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,94.78,96.16,94.84,104.16,3.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,115.47,96.16,94.84,104.16,10.0
